,Open_time,open,high,low,close,volume,Close_time,Quote asset volume,number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,1575158400000,151.43000000,152.49000000,145.79000000,150.73000000,344178.14088000,1575244799999,51148792.08299820,125550,172849.45417000,25693814.94443980,0
1,1575244800000,150.72000000,151.42000000,146.71000000,148.65000000,233839.09730000,1575331199999,34768563.47186470,107070,114158.87515000,16974888.53770170,0
2,1575331200000,148.66000000,149.93000000,145.77000000,147.17000000,196329.22503000,1575417599999,29061161.10177570,87660,100293.62450000,14844721.32424090,0
3,1575417600000,147.19000000,151.98000000,143.15000000,145.38000000,434430.62379000,1575503999999,63840615.24391760,149648,211404.51257000,31089708.18797030,0
4,1575504000000,145.45000000,149.02000000,143.64000000,148.10000000,299073.53972000,1575590399999,43777241.59082360,111694,159810.68936000,23382484.67691740,0
5,1575590400000,148.11000000,149.77000000,145.74000000,148.45000000,220674.68581000,1575676799999,32549526.39959790,90076,118938.06254000,17547902.32235480,0
6,1575676800000,148.46000000,149.49000000,146.85000000,147.14000000,140471.68588000,1575763199999,20799551.34569560,70677,73739.81386000,10919841.57771310,0
7,1575763200000,147.16000000,151.62000000,146.11000000,150.44000000,205301.60260000,1575849599999,30606289.28539150,79766,113946.96048000,16985317.52759580,0
8,1575849600000,150.44000000,151.19000000,146.56000000,147.38000000,243775.99249000,1575935999999,36345702.34808850,92204,113225.94088000,16892414.52102660,0
9,1575936000000,147.40000000,148.57000000,143.81000000,145.56000000,203215.84937000,1576022399999,29746845.43242870,85725,96914.54456000,14189982.05386240,0
10,1576022400000,145.53000000,146.34000000,142.12000000,143.39000000,157843.10484000,1576108799999,22772651.16812890,69834,82484.40373000,11897456.58801180,0
11,1576108800000,143.41000000,145.85000000,139.24000000,144.87000000,261615.30437000,1576195199999,37425277.03812350,99231,127845.69433000,18297930.21017830,0
12,1576195200000,144.87000000,146.00000000,142.80000000,144.80000000,160695.18556000,1576281599999,23203419.96161870,90805,82252.75063000,11879184.41045830,0
13,1576281600000,144.80000000,145.07000000,141.18000000,141.79000000,126232.59201000,1576367999999,18027581.35954590,76951,59729.52052000,8537450.10787950,0
14,1576368000000,141.79000000,144.12000000,139.92000000,142.46000000,151189.65877000,1576454399999,21495196.81888500,77131,73238.69048000,10413387.06460380,0
15,1576454400000,142.46000000,142.72000000,140.30000000,141.12000000,78497.62898000,1576540799999,11089010.61664710,41602,33864.95452000,4785822.81632040,0
